Time [s],Packet ID,MOSI,MISO
0.000257875000000,0,0x30,0x0F
0.000425875000000,1,0x02,0x0F
0.000441875000000,1,0x2E,0x0F
0.000516125000000,2,0x0D,0x0F
0.000532250000000,2,0x21,0x0F
0.000606500000000,3,0x0E,0x0F
0.000622500000000,3,0x65,0x0F
0.000696750000000,4,0x0F,0x0F
0.000712750000000,4,0x6A,0x0F
0.000787000000000,5,0x10,0x0F
0.000803000000000,5,0x07,0x0F
0.000877375000000,6,0x11,0x0F
0.000893500000000,6,0x43,0x0F
0.000967750000000,7,0x12,0x0F
0.000983875000000,7,0x00,0x0F
0.001058250000000,8,0x13,0x0F
0.001074250000000,8,0x22,0x0F
0.001148625000000,9,0x14,0x0F
0.001164750000000,9,0xF8,0x0F
0.001239125000000,10,0x0A,0x0F
0.001255125000000,10,0x00,0x0F
0.001329500000000,11,0x15,0x0F
0.001345625000000,11,0x40,0x0F
0.001419875000000,12,0x22,0x0F
0.001436000000000,12,0x17,0x0F
0.001510375000000,13,0x18,0x0F
0.001526375000000,13,0x18,0x0F
0.001600750000000,14,0x23,0x0F
0.001616750000000,14,0xA9,0x0F
0.001691125000000,15,0x24,0x0F
0.001707125000000,15,0x2A,0x0F
0.001781500000000,16,0x25,0x0F
0.001797625000000,16,0x00,0x0F
0.001872000000000,17,0x26,0x0F
0.001888000000000,17,0x11,0x0F
0.001962375000000,18,0x29,0x0F
0.001978500000000,18,0x59,0x0F
0.002052750000000,19,0x2C,0x0F
0.002068875000000,19,0x81,0x0F
0.002143125000000,20,0x2D,0x0F
0.002159125000000,20,0x35,0x0F
0.002233500000000,21,0x2E,0x0F
0.002249625000000,21,0x0B,0x0F
0.002323875000000,22,0x08,0x0F
0.002340000000000,22,0x12,0x0F
0.002414250000000,23,0x09,0x0F
0.002430375000000,23,0x00,0x0F
0.002504750000000,24,0x06,0x0F
0.002520875000000,24,0xFF,0x0F
0.002664500000000,25,0x7E,0x0F
0.002687125000000,25,0x6F,0x0F
0.002703250000000,25,0x26,0x0F
0.002720875000000,25,0x2E,0x0F
0.002738375000000,25,0x8C,0x0F
0.002756000000000,25,0x87,0x0F
0.002773625000000,25,0xCD,0x0F
0.002791250000000,25,0xC7,0x0F
0.002808750000000,25,0xC0,0x0F
0.002860000000000,26,0x36,0x0F
0.002944375000000,27,0x36,0x0F
0.003020750000000,28,0x36,0x0F
0.003083500000000,29,0x10,0x0F
0.003099625000000,29,0x08,0x0F
0.003160875000000,30,0x11,0x0F
0.003177000000000,30,0x43,0x0F
0.003241750000000,31,0x15,0x0F
0.003257750000000,31,0x40,0x0F
0.003319125000000,32,0x02,0x0F
0.003335125000000,32,0x2D,0x0F
0.003396500000000,33,0x01,0x0F
0.003412625000000,33,0x0B,0x0F
0.003483500000000,34,0x35,0x0F
0.003591750000000,35,0x36,0x4F
0.003666125000000,36,0x36,0x0F
0.003729125000000,37,0x10,0x0F
0.003745250000000,37,0x08,0x0F
0.003806625000000,38,0x11,0x0F
0.003822750000000,38,0x43,0x0F
0.003887625000000,39,0x15,0x0F
0.003903750000000,39,0x40,0x0F
0.003965125000000,40,0x02,0x0F
0.003981125000000,40,0x2D,0x0F
0.004042625000000,41,0x01,0x0F
0.004058625000000,41,0x0B,0x0F
0.004129625000000,42,0x35,0x0F
0.024871750000000,43,0x36,0x2F
0.024944500000000,44,0x02,0x2F
0.024960625000000,44,0x2E,0x2F
0.025022000000000,45,0x01,0x0F
0.025038125000000,45,0x2E,0x0F
0.025117625000000,46,0x36,0x0F
0.025188000000000,47,0x39,0x0F
0.028950250000000,48,0x30,0x0F
0.029119000000000,49,0x02,0x0F
0.029135000000000,49,0x2E,0x0F
0.029209875000000,50,0x0D,0x0F
0.029225875000000,50,0x21,0x0F
0.029300750000000,51,0x0E,0x0F
0.029316750000000,51,0x65,0x0F
0.029391625000000,52,0x0F,0x0F
0.029407750000000,52,0x6A,0x0F
0.029482500000000,53,0x10,0x0F
0.029498625000000,53,0x5A,0x0F
0.029573500000000,54,0x11,0x0F
0.029589500000000,54,0x83,0x0F
0.029664375000000,55,0x12,0x0F
0.029680500000000,55,0x00,0x0F
0.029755375000000,56,0x13,0x0F
0.029771375000000,56,0x22,0x0F
0.029846250000000,57,0x14,0x0F
0.029862375000000,57,0xF8,0x0F
0.029937125000000,58,0x0A,0x0F
0.029953250000000,58,0x00,0x0F
0.030028125000000,59,0x15,0x0F
0.030044125000000,59,0x50,0x0F
0.030119000000000,60,0x22,0x0F
0.030135000000000,60,0x17,0x0F
0.030209875000000,61,0x18,0x0F
0.030225875000000,61,0x18,0x0F
0.030300750000000,62,0x23,0x0F
0.030316750000000,62,0xA9,0x0F
0.030391625000000,63,0x24,0x0F
0.030407750000000,63,0x2A,0x0F
0.030482625000000,64,0x25,0x0F
0.030498750000000,64,0x00,0x0F
0.030573625000000,65,0x26,0x0F
0.030589625000000,65,0x11,0x0F
0.030664500000000,66,0x29,0x0F
0.030680625000000,66,0x59,0x0F
0.030755500000000,67,0x2C,0x0F
0.030771500000000,67,0x81,0x0F
0.030846375000000,68,0x2D,0x0F
0.030862375000000,68,0x35,0x0F
0.030937250000000,69,0x2E,0x0F
0.030953250000000,69,0x0B,0x0F
0.031028125000000,70,0x08,0x0F
0.031044125000000,70,0x12,0x0F
0.031118875000000,71,0x09,0x0F
0.031135000000000,71,0x00,0x0F
0.031209875000000,72,0x06,0x0F
0.031225875000000,72,0xFF,0x0F
0.031370000000000,73,0x7E,0x0F
0.031392625000000,73,0x6F,0x0F
0.031408625000000,73,0x26,0x0F
0.031426250000000,73,0x2E,0x0F
0.031443875000000,73,0x8C,0x0F
0.031461375000000,73,0x87,0x0F
0.031479000000000,73,0xCD,0x0F
0.031496500000000,73,0xC7,0x0F
0.031514125000000,73,0xC0,0x0F
0.031565375000000,74,0x36,0x0F
0.031649750000000,75,0x36,0x0F
0.031724000000000,76,0x10,0x0F
0.031740125000000,76,0x5A,0x0F
0.031801375000000,77,0x11,0x0F
0.031817500000000,77,0x83,0x0F
0.031883250000000,78,0x15,0x0F
0.031899375000000,78,0x50,0x0F
0.031960625000000,79,0x02,0x0F
0.031976625000000,79,0x2D,0x0F
0.032037875000000,80,0x01,0x0F
0.032054000000000,80,0x0B,0x0F
0.032124750000000,81,0x35,0x0F
0.032233875000000,82,0x36,0x4F
0.032306250000000,83,0x10,0x0F
0.032322375000000,83,0x5A,0x0F
0.032383625000000,84,0x11,0x0F
0.032399750000000,84,0x83,0x0F
0.032465500000000,85,0x15,0x0F
0.032481625000000,85,0x50,0x0F
0.032543000000000,86,0x02,0x0F
0.032559000000000,86,0x2D,0x0F
0.032620375000000,87,0x01,0x0F
0.032636375000000,87,0x0B,0x0F
0.032707250000000,88,0x35,0x0F
0.044014125000000,89,0x36,0x2F
0.044086250000000,90,0x02,0x0F
0.044102250000000,90,0x2E,0x0F
0.044163625000000,91,0x01,0x0F
0.044179750000000,91,0x2E,0x0F
0.044259250000000,92,0x36,0x0F
0.044329500000000,93,0x39,0x0F
0.102702875000000,94,0x30,0x0F
0.102871000000000,95,0x02,0x0F
0.102887000000000,95,0x2E,0x0F
0.102961375000000,96,0x0D,0x0F
0.102977375000000,96,0x21,0x0F
0.103051750000000,97,0x0E,0x0F
0.103067750000000,97,0x65,0x0F
0.103142125000000,98,0x0F,0x0F
0.103158125000000,98,0x6A,0x0F
0.103232500000000,99,0x10,0x0F
0.103248500000000,99,0x07,0x0F
0.103322750000000,100,0x11,0x0F
0.103338875000000,100,0x43,0x0F
0.103413125000000,101,0x12,0x0F
0.103429250000000,101,0x00,0x0F
0.103503625000000,102,0x13,0x0F
0.103519625000000,102,0x22,0x0F
0.103593875000000,103,0x14,0x0F
0.103610000000000,103,0xF8,0x0F
0.103684250000000,104,0x0A,0x0F
0.103700375000000,104,0x00,0x0F
0.103774625000000,105,0x15,0x0F
0.103790750000000,105,0x40,0x0F
0.103865000000000,106,0x22,0x0F
0.103881125000000,106,0x17,0x0F
0.103955500000000,107,0x18,0x0F
0.103971500000000,107,0x18,0x0F
0.104046000000000,108,0x23,0x0F
0.104062125000000,108,0xA9,0x0F
0.104136375000000,109,0x24,0x0F
0.104152500000000,109,0x2A,0x0F
0.104226750000000,110,0x25,0x0F
0.104242750000000,110,0x00,0x0F
0.104317125000000,111,0x26,0x0F
0.104333125000000,111,0x11,0x0F
0.104407500000000,112,0x29,0x0F
0.104423500000000,112,0x59,0x0F
0.104497750000000,113,0x2C,0x0F
0.104513875000000,113,0x81,0x0F
0.104588125000000,114,0x2D,0x0F
0.104604250000000,114,0x35,0x0F
0.104678500000000,115,0x2E,0x0F
0.104694625000000,115,0x0B,0x0F
0.104768875000000,116,0x08,0x0F
0.104785000000000,116,0x12,0x0F
0.104859375000000,117,0x09,0x0F
0.104875375000000,117,0x00,0x0F
0.104949750000000,118,0x06,0x0F
0.104965875000000,118,0xFF,0x0F
0.105109500000000,119,0x7E,0x0F
0.105132125000000,119,0x6F,0x0F
0.105148250000000,119,0x26,0x0F
0.105165750000000,119,0x2E,0x0F
0.105183375000000,119,0x8C,0x0F
0.105201000000000,119,0x87,0x0F
0.105218500000000,119,0xCD,0x0F
0.105236125000000,119,0xC7,0x0F
0.105253750000000,119,0xC0,0x0F
0.105305000000000,120,0x36,0x0F
0.105389375000000,121,0x36,0x0F
0.105465625000000,122,0x36,0x0F
0.105528500000000,123,0x10,0x0F
0.105544500000000,123,0x08,0x0F
0.105605875000000,124,0x11,0x0F
0.105621875000000,124,0x43,0x0F
0.105686750000000,125,0x15,0x0F
0.105702750000000,125,0x40,0x0F
0.105764000000000,126,0x02,0x0F
0.105780125000000,126,0x2D,0x0F
0.105841375000000,127,0x01,0x0F
0.105857500000000,127,0x0B,0x0F
0.105928375000000,128,0x35,0x0F
0.106036500000000,129,0x36,0x4F
0.106110875000000,130,0x36,0x0F
0.106173750000000,131,0x10,0x0F
0.106189875000000,131,0x08,0x0F
0.106251250000000,132,0x11,0x0F
0.106267375000000,132,0x43,0x0F
0.106332250000000,133,0x15,0x0F
0.106348375000000,133,0x40,0x0F
0.106409750000000,134,0x02,0x0F
0.106425875000000,134,0x2D,0x0F
0.106487250000000,135,0x01,0x0F
0.106503250000000,135,0x0B,0x0F
0.106574250000000,136,0x35,0x0F
0.127315750000000,137,0x36,0x2F
0.127388500000000,138,0x02,0x2F
0.127404625000000,138,0x2E,0x2F
0.127466000000000,139,0x01,0x0F
0.127482125000000,139,0x2E,0x0F
0.127561625000000,140,0x36,0x0F
0.127632000000000,141,0x39,0x0F
0.131394250000000,142,0x30,0x0F
0.131562875000000,143,0x02,0x0F
0.131579000000000,143,0x2E,0x0F
0.131653750000000,144,0x0D,0x0F
0.131669875000000,144,0x21,0x0F
0.131744625000000,145,0x0E,0x0F
0.131760750000000,145,0x65,0x0F
0.131835500000000,146,0x0F,0x0F
0.131851500000000,146,0x6A,0x0F
0.131926250000000,147,0x10,0x0F
0.131942375000000,147,0x5A,0x0F
0.132017250000000,148,0x11,0x0F
0.132033375000000,148,0x83,0x0F
0.132108250000000,149,0x12,0x0F
0.132124250000000,149,0x00,0x0F
0.132199125000000,150,0x13,0x0F
0.132215125000000,150,0x22,0x0F
0.132290000000000,151,0x14,0x0F
0.132306000000000,151,0xF8,0x0F
0.132380875000000,152,0x0A,0x0F
0.132397000000000,152,0x00,0x0F
0.132471875000000,153,0x15,0x0F
0.132487875000000,153,0x50,0x0F
0.132562750000000,154,0x22,0x0F
0.132578875000000,154,0x17,0x0F
0.132653750000000,155,0x18,0x0F
0.132669750000000,155,0x18,0x0F
0.132744500000000,156,0x23,0x0F
0.132760500000000,156,0xA9,0x0F
0.132835250000000,157,0x24,0x0F
0.132851375000000,157,0x2A,0x0F
0.132926000000000,158,0x25,0x0F
0.132942125000000,158,0x00,0x0F
0.133016875000000,159,0x26,0x0F
0.133032875000000,159,0x11,0x0F
0.133107625000000,160,0x29,0x0F
0.133123625000000,160,0x59,0x0F
0.133198375000000,161,0x2C,0x0F
0.133214500000000,161,0x81,0x0F
0.133289125000000,162,0x2D,0x0F
0.133305250000000,162,0x35,0x0F
0.133380000000000,163,0x2E,0x0F
0.133396000000000,163,0x0B,0x0F
0.133470750000000,164,0x08,0x0F
0.133486750000000,164,0x12,0x0F
0.133561500000000,165,0x09,0x0F
0.133577500000000,165,0x00,0x0F
0.133652250000000,166,0x06,0x0F
0.133668250000000,166,0xFF,0x0F
0.133812250000000,167,0x7E,0x0F
0.133834875000000,167,0x6F,0x0F
0.133850875000000,167,0x26,0x0F
0.133868375000000,167,0x2E,0x0F
0.133886000000000,167,0x8C,0x0F
0.133903500000000,167,0x87,0x0F
0.133921125000000,167,0xCD,0x0F
0.133938625000000,167,0xC7,0x0F
0.133956125000000,167,0xC0,0x0F
0.134007250000000,168,0x36,0x0F
0.134091500000000,169,0x36,0x0F
0.134165750000000,170,0x10,0x0F
0.134181750000000,170,0x5A,0x0F
0.134243000000000,171,0x11,0x0F
0.134259000000000,171,0x83,0x0F
0.134324625000000,172,0x15,0x0F
0.134340750000000,172,0x50,0x0F
0.134401875000000,173,0x02,0x0F
0.134417875000000,173,0x2D,0x0F
0.134479000000000,174,0x01,0x0F
0.134495125000000,174,0x0B,0x0F
0.134565750000000,175,0x35,0x0F
0.134674500000000,176,0x36,0x4F
0.134746750000000,177,0x10,0x0F
0.134762750000000,177,0x5A,0x0F
0.134824000000000,178,0x11,0x0F
0.134840000000000,178,0x83,0x0F
0.134905625000000,179,0x15,0x0F
0.134921750000000,179,0x50,0x0F
0.134982875000000,180,0x02,0x0F
0.134998875000000,180,0x2D,0x0F
0.135060000000000,181,0x01,0x0F
0.135076125000000,181,0x0B,0x0F
0.135146750000000,182,0x35,0x0F
0.146453500000000,183,0x36,0x2F
0.146525500000000,184,0x02,0x0F
0.146541625000000,184,0x2E,0x0F
0.146603000000000,185,0x01,0x0F
0.146619125000000,185,0x2E,0x0F
0.146698500000000,186,0x36,0x0F
0.146768875000000,187,0x39,0x0F
0.201967875000000,188,0x30,0x0F
0.202135875000000,189,0x02,0x0F
0.202151875000000,189,0x2E,0x0F
0.202226125000000,190,0x0D,0x0F
0.202242250000000,190,0x21,0x0F
0.202316375000000,191,0x0E,0x0F
0.202332375000000,191,0x65,0x0F
0.202406625000000,192,0x0F,0x0F
0.202422750000000,192,0x6A,0x0F
0.202496875000000,193,0x10,0x0F
0.202513000000000,193,0x07,0x0F
0.202587125000000,194,0x11,0x0F
0.202603125000000,194,0x43,0x0F
0.202677375000000,195,0x12,0x0F
0.202693375000000,195,0x00,0x0F
0.202767625000000,196,0x13,0x0F
0.202783625000000,196,0x22,0x0F
0.202857875000000,197,0x14,0x0F
0.202873875000000,197,0xF8,0x0F
0.202948125000000,198,0x0A,0x0F
0.202964125000000,198,0x00,0x0F
0.203038375000000,199,0x15,0x0F
0.203054375000000,199,0x40,0x0F
0.203128625000000,200,0x22,0x0F
0.203144750000000,200,0x17,0x0F
0.203219000000000,201,0x18,0x0F
0.203235000000000,201,0x18,0x0F
0.203309250000000,202,0x23,0x0F
0.203325375000000,202,0xA9,0x0F
0.203399500000000,203,0x24,0x0F
0.203415625000000,203,0x2A,0x0F
0.203489750000000,204,0x25,0x0F
0.203505875000000,204,0x00,0x0F
0.203580000000000,205,0x26,0x0F
0.203596000000000,205,0x11,0x0F
0.203670125000000,206,0x29,0x0F
0.203686250000000,206,0x59,0x0F
0.203760375000000,207,0x2C,0x0F
0.203776500000000,207,0x81,0x0F
0.203850750000000,208,0x2D,0x0F
0.203866750000000,208,0x35,0x0F
0.203941000000000,209,0x2E,0x0F
0.203957125000000,209,0x0B,0x0F
0.204031500000000,210,0x08,0x0F
0.204047500000000,210,0x12,0x0F
0.204121750000000,211,0x09,0x0F
0.204137875000000,211,0x00,0x0F
0.204212125000000,212,0x06,0x0F
0.204228125000000,212,0xFF,0x0F
0.204371500000000,213,0x7E,0x0F
0.204394125000000,213,0x6F,0x0F
0.204410125000000,213,0x26,0x0F
0.204427625000000,213,0x2E,0x0F
0.204445250000000,213,0x8C,0x0F
0.204462750000000,213,0x87,0x0F
0.204480375000000,213,0xCD,0x0F
0.204497875000000,213,0xC7,0x0F
0.204515500000000,213,0xC0,0x0F
0.204566625000000,214,0x36,0x0F
0.204650875000000,215,0x36,0x0F
0.204727125000000,216,0x36,0x0F
0.204789750000000,217,0x10,0x0F
0.204805750000000,217,0x08,0x0F
0.204867000000000,218,0x11,0x0F
0.204883000000000,218,0x43,0x0F
0.204947750000000,219,0x15,0x0F
0.204963750000000,219,0x40,0x0F
0.205025000000000,220,0x02,0x0F
0.205041000000000,220,0x2D,0x0F
0.205102250000000,221,0x01,0x0F
0.205118250000000,221,0x0B,0x0F
0.205189000000000,222,0x35,0x0F
0.205297125000000,223,0x36,0x4F
0.205371500000000,224,0x36,0x0F
0.205434250000000,225,0x10,0x0F
0.205450375000000,225,0x08,0x0F
0.205511625000000,226,0x11,0x0F
0.205527750000000,226,0x43,0x0F
0.205592500000000,227,0x15,0x0F
0.205608625000000,227,0x40,0x0F
0.205669875000000,228,0x02,0x0F
0.205686000000000,228,0x2D,0x0F
0.205747250000000,229,0x01,0x0F
0.205763375000000,229,0x0B,0x0F
0.205834250000000,230,0x35,0x0F
0.226575875000000,231,0x36,0x2F
0.226648375000000,232,0x02,0x2F
0.226664500000000,232,0x2E,0x2F
0.226725875000000,233,0x01,0x0F
0.226742000000000,233,0x2E,0x0F
0.226821375000000,234,0x36,0x0F
0.226891625000000,235,0x39,0x0F
0.230642750000000,236,0x30,0x0F
0.230811125000000,237,0x02,0x0F
0.230827250000000,237,0x2E,0x0F
0.230901875000000,238,0x0D,0x0F
0.230918000000000,238,0x21,0x0F
0.230992625000000,239,0x0E,0x0F
0.231008750000000,239,0x65,0x0F
0.231083375000000,240,0x0F,0x0F
0.231099375000000,240,0x6A,0x0F
0.231174125000000,241,0x10,0x0F
0.231190125000000,241,0x5A,0x0F
0.231264875000000,242,0x11,0x0F
0.231280875000000,242,0x83,0x0F
0.231355625000000,243,0x12,0x0F
0.231371625000000,243,0x00,0x0F
0.231446250000000,244,0x13,0x0F
0.231462250000000,244,0x22,0x0F
0.231537000000000,245,0x14,0x0F
0.231553000000000,245,0xF8,0x0F
0.231627750000000,246,0x0A,0x0F
0.231643875000000,246,0x00,0x0F
0.231718500000000,247,0x15,0x0F
0.231734625000000,247,0x50,0x0F
0.231809250000000,248,0x22,0x0F
0.231825375000000,248,0x17,0x0F
0.231900000000000,249,0x18,0x0F
0.231916125000000,249,0x18,0x0F
0.231990750000000,250,0x23,0x0F
0.232006750000000,250,0xA9,0x0F
0.232081500000000,251,0x24,0x0F
0.232097500000000,251,0x2A,0x0F
0.232172250000000,252,0x25,0x0F
0.232188250000000,252,0x00,0x0F
0.232263000000000,253,0x26,0x0F
0.232279000000000,253,0x11,0x0F
0.232353625000000,254,0x29,0x0F
0.232369625000000,254,0x59,0x0F
0.232444375000000,255,0x2C,0x0F
0.232460375000000,255,0x81,0x0F
0.232535125000000,256,0x2D,0x0F
0.232551125000000,256,0x35,0x0F
0.232625750000000,257,0x2E,0x0F
0.232641750000000,257,0x0B,0x0F
0.232716500000000,258,0x08,0x0F
0.232732500000000,258,0x12,0x0F
0.232807250000000,259,0x09,0x0F
0.232823250000000,259,0x00,0x0F
0.232897875000000,260,0x06,0x0F
0.232914000000000,260,0xFF,0x0F
0.233057750000000,261,0x7E,0x0F
0.233080375000000,261,0x6F,0x0F
0.233096375000000,261,0x26,0x0F
0.233114000000000,261,0x2E,0x0F
0.233131500000000,261,0x8C,0x0F
0.233149000000000,261,0x87,0x0F
