Time [s],Value
0.000264000000000,0b  1111  1111  1111  1111
0.000432750000000,0b  1111  1111  1111  1111
0.000448875000000,0b  1111  1111  1111  1111
0.000466375000000,0b  1111  1111  1111  1111
0.000523500000000,0b  1111  1111  1111  1111
0.000539625000000,0b  1111  1111  1111  1111
0.000557000000000,0b  1111  1111  1111  1111
0.000614125000000,0b  1111  1111  1111  1111
0.000630250000000,0b  1111  1111  1111  1111
0.000647625000000,0b  1111  1111  1111  1111
0.000704750000000,0b  1111  1111  1111  1111
0.000720875000000,0b  1111  1111  1111  1111
0.000738375000000,0b  1111  1111  1111  1111
0.000795500000000,0b  1111  1111  1111  1111
0.000811500000000,0b  1111  1111  1111  1111
0.000829000000000,0b  1111  1111  1111  1111
0.000886000000000,0b  1111  1111  1111  1111
0.000902125000000,0b  1111  1111  1111  1111
0.000919625000000,0b  1111  1111  1111  1111
0.000976750000000,0b  1111  1111  1111  1111
0.000992875000000,0b  1111  1111  1111  1111
0.001010250000000,0b  1111  1111  1111  1111
0.001067375000000,0b  1111  1111  1111  1111
0.001083500000000,0b  1111  1111  1111  1111
0.001100875000000,0b  1111  1111  1111  1111
0.001158000000000,0b  1111  1111  1111  1111
0.001174125000000,0b  1111  1111  1111  1111
0.001191625000000,0b  1111  1111  1111  1111
0.001248750000000,0b  1111  1111  1111  1111
0.001264875000000,0b  1111  1111  1111  1111
0.001282250000000,0b  1111  1111  1111  1111
0.001339375000000,0b  1111  1111  1111  1111
0.001355375000000,0b  1111  1111  1111  1111
0.001372875000000,0b  1111  1111  1111  1111
0.001430000000000,0b  1111  1111  1111  1111
0.001446000000000,0b  1111  1111  1111  1111
0.001463500000000,0b  1111  1111  1111  1111
0.001520625000000,0b  1111  1111  1111  1111
0.001536625000000,0b  1111  1111  1111  1111
0.001554125000000,0b  1111  1111  1111  1111
0.001611250000000,0b  1111  1111  1111  1111
0.001627375000000,0b  1111  1111  1111  1111
0.001644750000000,0b  1111  1111  1111  1111
0.001701875000000,0b  1111  1111  1111  1111
0.001718000000000,0b  1111  1111  1111  1111
0.001735375000000,0b  1111  1111  1111  1111
0.001792500000000,0b  1111  1111  1111  1111
0.001808625000000,0b  1111  1111  1111  1111
0.001826125000000,0b  1111  1111  1111  1111
0.001883250000000,0b  1111  1111  1111  1111
0.001899375000000,0b  1111  1111  1111  1111
0.001916750000000,0b  1111  1111  1111  1111
0.001973875000000,0b  1111  1111  1111  1111
0.001990000000000,0b  1111  1111  1111  1111
0.002007500000000,0b  1111  1111  1111  1111
0.002064500000000,0b  1111  1111  1111  1111
0.002080625000000,0b  1111  1111  1111  1111
0.002098000000000,0b  1111  1111  1111  1111
0.002155125000000,0b  1111  1111  1111  1111
0.002171250000000,0b  1111  1111  1111  1111
0.002188750000000,0b  1111  1111  1111  1111
0.002245875000000,0b  1111  1111  1111  1111
0.002262000000000,0b  1111  1111  1111  1111
0.002279375000000,0b  1111  1111  1111  1111
0.002336500000000,0b  1111  1111  1111  1111
0.002352625000000,0b  1111  1111  1111  1111
0.002370000000000,0b  1111  1111  1111  1111
0.002427125000000,0b  1111  1111  1111  1111
0.002443250000000,0b  1111  1111  1111  1111
0.002460750000000,0b  1111  1111  1111  1111
0.002517750000000,0b  1111  1111  1111  1111
0.002533875000000,0b  1111  1111  1111  1111
0.002551375000000,0b  1111  1111  1111  1111
0.002678000000000,0b  1111  1111  1111  1111
0.002700625000000,0b  1111  1111  1111  1111
0.002716750000000,0b  1111  1111  1111  1111
0.002734375000000,0b  1111  1111  1111  1111
0.002752000000000,0b  1111  1111  1111  1111
0.002769625000000,0b  1111  1111  1111  1111
0.002787250000000,0b  1111  1111  1111  1111
0.002805000000000,0b  1111  1111  1111  1111
0.002822625000000,0b  1111  1111  1111  1111
0.002838000000000,0b  1111  1111  1111  1111
0.002874000000000,0b  1111  1111  1111  1111
0.002892875000000,0b  1111  1111  1111  1111
0.002958625000000,0b  1111  1111  1111  1111
0.002977500000000,0b  1111  1111  1111  1111
0.003035125000000,0b  1111  1111  1111  1111
0.003054000000000,0b  1111  1111  1111  1111
0.003098000000000,0b  1111  1111  1111  1111
0.003114125000000,0b  1111  1111  1111  1111
0.003131500000000,0b  1111  1111  1111  1111
0.003175500000000,0b  1111  1111  1111  1111
0.003191625000000,0b  1111  1111  1111  1111
0.003209125000000,0b  1111  1111  1111  1111
0.003256625000000,0b  1111  1111  1111  1111
0.003272625000000,0b  1111  1111  1111  1111
0.003290125000000,0b  1111  1111  1111  1111
0.003334125000000,0b  1111  1111  1111  1111
0.003350125000000,0b  1111  1111  1111  1111
0.003367625000000,0b  1111  1111  1111  1111
0.003411625000000,0b  1111  1111  1111  1111
0.003427750000000,0b  1111  1111  1111  1111
0.003498750000000,0b  1111  1111  1111  1111
0.003604250000000,0b  1111  1111  1111  1111
0.003607250000000,0b  1111  1111  1111  1111
0.003681875000000,0b  1111  1111  1111  1111
0.003744875000000,0b  1111  1111  1111  1111
0.003761000000000,0b  1111  1111  1111  1111
