Time [s],Value
-0.100600750000000,0b  1111  1111  1111  1111
-0.100432916666667,0b  1111  1111  1111  1111
-0.100416875000000,0b  1111  1111  1111  1111
-0.100399625000000,0b  1111  1111  1111  1111
-0.100342708333333,0b  1111  1111  1111  1111
-0.100326708333333,0b  1111  1111  1111  1111
-0.100309500000000,0b  1111  1111  1111  1111
-0.100252541666667,0b  1111  1111  1111  1111
-0.100236500000000,0b  1111  1111  1111  1111
-0.100219291666667,0b  1111  1111  1111  1111
-0.100162375000000,0b  1111  1111  1111  1111
-0.100146333333333,0b  1111  1111  1111  1111
-0.100129083333333,0b  1111  1111  1111  1111
-0.100072125000000,0b  1111  1111  1111  1111
-0.100056083333333,0b  1111  1111  1111  1111
-0.100038833333333,0b  1111  1111  1111  1111
-0.099981875000000,0b  1111  1111  1111  1111
-0.099965833333333,0b  1111  1111  1111  1111
-0.099948625000000,0b  1111  1111  1111  1111
-0.099891625000000,0b  1111  1111  1111  1111
-0.099875583333333,0b  1111  1111  1111  1111
-0.099858375000000,0b  1111  1111  1111  1111
-0.099801416666667,0b  1111  1111  1111  1111
-0.099785375000000,0b  1111  1111  1111  1111
-0.099768125000000,0b  1111  1111  1111  1111
-0.099711166666667,0b  1111  1111  1111  1111
-0.099695166666667,0b  1111  1111  1111  1111
-0.099677916666667,0b  1111  1111  1111  1111
-0.099620958333333,0b  1111  1111  1111  1111
-0.099604958333333,0b  1111  1111  1111  1111
-0.099587708333333,0b  1111  1111  1111  1111
-0.099530750000000,0b  1111  1111  1111  1111
-0.099514708333333,0b  1111  1111  1111  1111
-0.099497500000000,0b  1111  1111  1111  1111
-0.099440541666667,0b  1111  1111  1111  1111
-0.099424500000000,0b  1111  1111  1111  1111
-0.099407291666667,0b  1111  1111  1111  1111
-0.099350333333333,0b  1111  1111  1111  1111
-0.099334250000000,0b  1111  1111  1111  1111
-0.099317041666667,0b  1111  1111  1111  1111
-0.099260083333333,0b  1111  1111  1111  1111
-0.099244041666667,0b  1111  1111  1111  1111
-0.099226833333333,0b  1111  1111  1111  1111
-0.099169833333333,0b  1111  1111  1111  1111
-0.099153791666667,0b  1111  1111  1111  1111
-0.099136541666667,0b  1111  1111  1111  1111
-0.099079541666667,0b  1111  1111  1111  1111
-0.099063500000000,0b  1111  1111  1111  1111
-0.099046250000000,0b  1111  1111  1111  1111
-0.098989291666667,0b  1111  1111  1111  1111
-0.098973250000000,0b  1111  1111  1111  1111
-0.098956041666667,0b  1111  1111  1111  1111
-0.098899083333333,0b  1111  1111  1111  1111
-0.098883041666667,0b  1111  1111  1111  1111
-0.098865791666667,0b  1111  1111  1111  1111
-0.098808750000000,0b  1111  1111  1111  1111
-0.098792666666667,0b  1111  1111  1111  1111
-0.098775375000000,0b  1111  1111  1111  1111
-0.098718333333333,0b  1111  1111  1111  1111
-0.098702250000000,0b  1111  1111  1111  1111
-0.098685000000000,0b  1111  1111  1111  1111
-0.098627958333333,0b  1111  1111  1111  1111
-0.098611875000000,0b  1111  1111  1111  1111
-0.098594625000000,0b  1111  1111  1111  1111
